album,artist,genre,subgenres
The Life Of Pi'erre 4,Pi'erre Bourne,Hip Hop,"Cloud Rap, Electronic, Melodic Rap, Pop Rap, Synthwave, Trap"
The Life Of Pi'erre 5,Pi'erre Bourne,Hip Hop,"Cloud Rap, Electronic, Melodic Rap, Pop Rap, Synthwave, Trap"
LIFE'S A TRIP,Trippie Redd,Hip Hop,"Alternative R&B, Emo Rap, Melodic Rap, Pop Rap, Psychedelic Hip Hop, Trap"
Lil Uzi Vert vs. The World,Lil Uzi Vert,Hip Hop,"Cloud Rap, Emo Rap, Melodic Rap, Mumble Rap, Pop Rap, Trap"
The Lo-Fis,Steve Lacy,R&B,"Alternative R&B, Bedroom Pop, Funk, Indie R&B, Lo-Fi, Neo-Soul"
LONG.LIVE.A$AP,A$AP Rocky,Hip Hop,"Cloud Rap, East Coast Hip Hop, Experimental Hip Hop, Pop Rap, Psychedelic Hip Hop, Southern Hip Hop, Trap"
Lust For Life,Lana Del Rey,Pop,"Alternative R&B, Art Pop, Baroque Pop, Dream Pop, Folk, Indie Pop, Psychedelic Pop, Trip Hop"
Luv Is Rage,Lil Uzi Vert,Hip Hop,"Cloud Rap, Emo Rap, Melodic Rap, Mumble Rap, Pop Rap, Trap"
Luv Is Rage 2,Lil Uzi Vert,Hip Hop,"Alternative R&B, Cloud Rap, Emo Rap, Melodic Rap, Pop Rap, Psychedelic Trap, Trap"
Madvillainy,"Madlib, MF DOOM, Madvillain",Hip Hop,"Abstract Hip Hop, Alternative Hip Hop, Boom Bap, Experimental Hip Hop, Instrumental Hip Hop, Jazz Rap, Progressive Hip Hop, Underground Hip Hop"
Maggot Brain,Funkadelic,Rock,"Acid Rock, Funk, Funk Rock, Progressive Rock, Psychedelic Rock, Psychedelic Soul"
Malibu,Anderson .Paak,R&B,"Alternative Hip Hop, Alternative R&B, Contemporary R&B, Funk, Jazz Rap, Neo-Soul, Soul"
Man On The Moon: The End Of Day,Kid Cudi,Hip Hop,"Alternative Hip Hop, Cloud Rap, Electronic Hip Hop, Emo Rap, Pop Rap, Psychedelic Hip Hop, Trip Hop"
